Question Number ,Title,Questions,Option-1,Option-2,Název,Otázky,Option-1,Option-2
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree        ,Disagree,Vymáhání práva a hodnot v EU,"EU by měla nadále zastavovat financování členským státům, které porušují principy právního státu.",ANO,NE
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree        ,Disagree,Pomoc Ukrajině,EU by měla financovat více zbraní pro Ukrajinu.,ANO,NE
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree        ,Disagree,Vyšší daně CO2,Firmy by měly platit více za své emise CO2.,ANO,NE
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree        ,Disagree,Zrušení zásady jednomyslnosti,"EU by měla zrušit zásadu jednomyslnosti (upustit od práva veta) v zahraniční, obranné a bezpečnostní politice.",ANO,NE
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Agree        ,Disagree,Boj s dezinformacemi,"Měly by sociální sítě samy rozhodovat, jak nakládat s dezinformacemi, které se šíří na jejich platformách?",ANO,NE
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree        ,Disagree,Rozpočtová pravidla,EU by měla povolit členským státům mít vyšší rozpočtový schodek.,ANO,NE
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree        ,Disagree,Rozvojová pomoc a imigrace,"EU by měla omezit rozvojovou pomoc zemím, které nechtějí přijímat zpět zamítnuté žadatele o azyl.",ANO,NE
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree        ,Disagree,Zrušení zákazu stejnopohlavního manželství,"Souhlasíte s tím, aby se ve všech zemích EU zrušil zákaz manželství pro osoby stejného pohlaví?",ANO,NE
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree        ,Disagree,Více peněz na zdravotní péči na venkově,EU by měla poskytovat více peněz na zdravotní péči na venkově.,ANO,NE
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree        ,Disagree,Veřejnoprávní média,EU by se měla i nadále aktivně zajímat o způsob fungování veřejnoprávních médií v členských státech.,ANO,NE
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree        ,Disagree,Pravidla státní podpory průmyslu,Měla by EU zpřísnit pravidla pro státní podporu průmyslu?,ANO,NE
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Agree        ,Disagree,EU rozpočet na vývoj zbraní,Měl by se z rozpočtu EU financovat vývoj zbraní?,ANO,NE
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree        ,Disagree,Fond na obranu hranic,Měl by existovat speciální fond na budování obranných opevnění na vnějších hranicích EU?,ANO,NE
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Agree        ,Disagree,Evropské daně,Podporujete zavedení nových evropských daní pro financování rozpočtu EU?,ANO,NE
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree        ,Disagree,Podpora přechodu na OZE,Má EU financovat přechod chudších domácností na obnovitelné zdroje energie?,ANO,NE
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree        ,Disagree,Podpora dětských služeb,Měla by EU podporovat rozvoj školek a dětských skupin?,ANO,NE
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree        ,Disagree,Podpora rekvalifikací,Měla by EU financovat programy na rekvalifikaci pracujících?,ANO,NE
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree        ,Disagree,Změna školních osnov,Školní osnovy by měly být doplněny o témata související s EU.,ANO,NE
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Agree        ,Disagree,Regulace pesticidů,EU by měla úplně zakázat pesticidy obsahující glyfosát.,ANO,NE
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree        ,Disagree,Společná zemědělská politika,EU by měla přestat dotovat intenzivní chov hospodářských zvířat.,ANO,NE
21,EU Common Army,The EU should have a common army.,Agree        ,Disagree,Společná armáda EU,EU by měla mít společnou armádu.,ANO,NE
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Agree        ,Disagree,Zpřístupnění obchodních dat,Měla by se zpřístupnit veřejnosti obchodní data firem ve všech zemích EU?,ANO,NE
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree        ,Disagree,Podpora ekologického zemědělství,"EU by měla platit více peněz zemědělcům, kteří používají ekologické postupy.",ANO,NE
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree        ,Disagree,Sankce vůči Rusku,EU by měla zachovat sankce vůči Rusku.,ANO,NE
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree        ,Disagree,Společné obstarávání vojenské obrany,Členské země EU by měly společně nakupovat vojenské vybavení.,ANO,NE
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree        ,Disagree,Zákaz automatického rozpoznávání obličejů,Měla by EU zakázat automatické rozpoznávání obličejů na veřejných místech?,ANO,NE
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree        ,Disagree,Zákaz financování uhelných elektráren,Má se zakázat financování uhelných elektráren z veřejných peněz?,ANO,NE
28,European Social Security Number,The EU should introduce a European social security number.,Agree        ,Disagree,Evropské číslo sociálního zabezpečení,EU by měla zavést evropské číslo sociálního zabezpečení.,ANO,NE
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree        ,Disagree,Nerovné platy žen a mužů,EU by měla postihovat firmy za nerovné platy žen a mužů.,ANO,NE
30,Capping the Retirement Age,Should the EU cap the retirement age?,Agree        ,Disagree,Zastropování věku odchodu do důchodu,Měla by EU zastropovat věk odchodu do důchodu?,ANO,NE
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree        ,Disagree,Zrušení neplacených stáží v odborném vzdělávání,EU by měla zrušit neplacené stáže v odborném vzdělávání.,ANO,NE
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree        ,Disagree,Zákaz vývozu živých hospodářských zvířat,Měl by platit zákaz vývozu živých hospodářských zvířat mimo hranice EU?,ANO,NE
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree        ,Disagree,Zvýšení dovozních cel na čínské elektromobily,Dovozní cla na čínské elektrické automobily by měla být zvýšena.,ANO,NE
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree        ,Disagree,Přijímání kvalifikovaných imigrantů,Pro kvalifikované pracovníky by mělo být snazší přestěhovat se do Evropské unie.,ANO,NE
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree        ,Disagree,Třetí kategorie pohlaví v pasech,EU by měla doporučit členským státům přidat do jejich pasů třetí kategorii pohlaví.,ANO,NE
36,Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,Agree        ,Disagree,Ekologické označení potravin,Všechny potravinářské produkty prodávané v EU by měly mít označení o jejich ekologickém dopadu.,ANO,NE
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree        ,Disagree,Investice do udržitelných technologií,Mělo by se poskytnout více veřejných peněz na investice do udržitelných technologií.,ANO,NE
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Agree        ,Disagree,Omezení přístupu k sociální pomoci,Má se omezit přístup k sociální pomoci pro občany jiných států EU žijících v dané zemi?,ANO,NE
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree        ,Disagree,Posílení pravomocí OLAF,"EU by měla posílit pravomoci nezávislého úřadu pro boj proti podvodům, korupci a praní špinavých peněz (OLAF).",ANO,NE
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree        ,Disagree,Ukrajina v EU,Ukrajina by se měla stát členem Evropské unie.,ANO,NE
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree        ,Disagree,Volba předsedy Komise,Předseda / předsedkyně Evropské komise by měli být přímo voleni občany EU.,ANO,NE
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree        ,Disagree,Stipendia programu Erasmus+,Chudší studující by měli mít možnost získat vyšší stipendium Erasmus+ než studující s více prostředky.,ANO,NE